|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
350|1000.0|654106103|STOCK SPLIT 2 FOR 1 STOCK SPLIT ON NIKE INC CLASS B DUE 12/23/2015 1000 ADDITIONAL SHARES RECEIVED|12/24/15|0.0||t
211|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/24/15|250.0||c
210|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/24/15|250.0||c
209|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/24/15|250.0||c
18|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-199.46||c
19|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-250.2||c
20|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-680.7||c
21|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-511.2||c
22|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-631.2||c
23|||CASH DISBURSEMENT PAID TO XXXXXXX|12/28/15|-270.0||c
343|-2542.76|261908107|SOLD DREYFUS TREAS CASH MGMT INSTL SHARES|12/28/15|2542.76|-1.0|s
305|224.91|261908107|PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES|12/30/15|-224.91|-1.0|b
